Names,Redshift,NH,RA,Dec,XP_RAdeg,XP_Dedeg,Offset,CenterIDFlag,ProfileFlag,OBSIDs
, ,10+22cm^-2,deg ,deg,deg,deg,arcsec, ,,
ACCEPT2.0 Name,NED Redshift,Galactic Hydrogen Column (Stark et al. 1992),ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,ACCEPT2.0 X-ray Peak RA J2000,ACCEPT2.0 X-ray Peak Dec J2000,Difference between peak and aperture center,if peak or centroid centered ,Y means an entropy profile is in Table 5/6,Chandra ObsIDs used in the ACCEPT2.0 analysis
ABELL_2717,0.049,0.0111,0.804,-35.9334,0.804,-35.9334,0.1,peak,Y,    6974    6973
NSCS_J000619+105206,0.167,0.0577,1.5845,10.8643,1.5845,10.8643,0,peak,Y,   12251
ZwCl_0008.8+5215,0.104,0.2003,2.8647,52.5265,2.8396,52.5292,56,centroid,Y,   15318
MACS_J0011.7-1523,0.378,0.0204,2.9286,-15.3892,2.929,-15.3891,1.4,peak,Y,    3261    6105
ABELL_0013,0.094,0.0203,3.4098,-19.5005,3.4079,-19.5025,9.8,centroid,Y,    4945
ABELL_2744,0.308,0.0161,3.5807,-30.3909,3.5814,-30.3917,3.7,peak,Y,    2212    8477    8557    7915
SPT-CLJ0014-4952,0.752,0.0195,3.7037,-49.8838,3.7037,-49.8838,0,peak,N,   13471
Cl_0016+16,0.541,0.0405,4.6402,16.4359,4.6396,16.4369,4.4,peak,Y,     520
MACS_J0025.4-1222,0.584,0.027,6.3737,-12.3761,6.3737,-12.3761,0,peak,Y,    5010    3251   10797   10413
ZwCl_0024.0+1652,0.39,0.0419,6.6499,17.1626,6.6487,17.162,4.4,peak,N,     929
MCXC_J0027.8+2616,0.367,0.0385,6.9383,26.2756,6.9398,26.2737,8.5,centroid,N,    3249   14012
PLCKESZ_G304.84-41.42,0.41,0.0446,7.026,-75.6358,7.0238,-75.6301,20.8,centroid,Y,   14390
WARP_J0030.5+2618,0.5,0.0393,7.6427,26.3027,7.6412,26.3027,4.9,peak,N,    1190    5762    1226
MCXC_J0035.4-2015,0.364,0.0161,8.8586,-20.2623,8.8607,-20.2628,7.3,centroid,Y,    3262
ABELL_0068,0.255,0.0504,9.2775,9.1578,9.277,9.159,4.5,peak,Y,    3250
ABELL_0085,0.055,0.0329,10.4599,-9.3029,10.46,-9.303,0.4,peak,Y,     904
ABELL_2813,0.292,0.0155,10.8535,-20.6234,10.8537,-20.6236,1,peak,Y,    9409
ZwCl_0040.8+2404,0.083,0.0391,10.9678,24.4059,10.9678,24.4054,2,peak,Y,   11735
ABELL_0098N,0.104,0.0336,11.6029,20.6218,11.6029,20.6221,1,peak,Y,   11876   11877
A98ss,0.129,0.0336,11.6516,20.2567,11.6519,20.257,1.4,peak,N,   12185
ESO_351-_G_021,0.057,0.023,13.7497,-35.3214,13.7493,-35.3209,2.2,peak,Y,    5784
ABELL_0119,0.044,0.0316,14.0755,-1.2422,14.0631,-1.2499,52.5,centroid,N,    4180    7918
ABELL_0122,0.114,0.0104,14.3453,-26.2808,14.3447,-26.2805,2.2,peak,N,    9427
SPT-CLJ0058-6145,0.83,0.018,14.588,-61.7679,14.588,-61.7679,0,peak,N,   13479
ABELL_0133,0.0566,0.0158,15.6737,-21.8818,15.674,-21.8805,4.7,peak,Y,    2203    9897   13518
SPT-CL_J0102-4915,0.75,0.0302,15.7378,-49.2725,15.7403,-49.272,6.2,centroid,Y,   14022   14023   12258
_SBV2004__RS_28,0.275,0.0349,16.2302,0.0596,16.2302,0.0596,0,peak,N,   11765
ABELL_0141,0.23,0.0161,16.3979,-24.6301,16.3933,-24.633,18.4,centroid,Y,    9410
SPT-CLJ0106-5943,0.348,0.0288,16.6175,-59.7204,16.6175,-59.7204,0,peak,N,   13468
MaxBCG_J016.70077+01.05926,0.254,0.0314,16.7062,1.0563,16.7042,1.0538,11.2,centroid,Y,   10465
CIZA_J0107.7+5408,0.107,0.2488,16.9381,54.1327,16.9381,54.1327,0,peak,Y,   15152
IC_1633,0.0243,0.0212,17.4809,-45.9308,17.4809,-45.9308,0.1,peak,Y,    4971
ABELL_0160,0.045,0.0438,18.2737,15.5298,18.2529,15.4875,168.5,centroid,Y,    3219
NSCS_J011502+002441,0.045,0.0325,18.7658,0.4041,18.7399,0.4273,125.4,centroid,Y,    3203
ABELL_2895,0.227,0.0159,19.5469,-26.9653,19.5469,-26.9653,0,peak,Y,    9429
UGC_00842,0.045,0.0367,19.7235,-1.0021,19.7248,-1.0021,4.6,peak,Y,    4963
SPT-CLJ0123-4821,0.62,0.0197,20.7992,-48.3566,20.7992,-48.3566,0,peak,N,   13491
ABELL_0193,0.049,0.0457,21.2802,8.7003,21.2819,8.6992,7.3,centroid,Y,    6931
ABELL_0209,0.206,0.0205,22.9701,-13.6114,22.969,-13.6108,4.2,peak,Y,    3579     522
Abell_222,0.211,0.0235,24.3946,-12.9931,24.394,-12.993,2.2,peak,Y,    4967
Abell_223,0.207,0.0235,24.4835,-12.8198,24.4832,-12.8196,1.4,peak,Y,    4967
MACS0140.0-0555,0.454,0.0299,25.0065,-5.9191,25.0065,-5.9191,0,peak,N,   12243    5013
MCXC_J0142.0+2131,0.28,0.0732,25.5134,21.5212,25.5134,21.5215,1,peak,N,   10440
SDSS_J015021.27-100530.5_GROUP,0.365,0.0236,27.5885,-10.0915,27.5894,-10.0918,3.1,peak,N,   11711
SPT-CLJ0151-5954,1.03,0.0327,27.8452,-59.9075,27.8452,-59.9075,0,peak,N,   13480   14380
MCXC_J0152.5-2853,0.341,0.0147,28.1437,-28.8937,28.1437,-28.8937,0,peak,N,    3264
ABELL_0267,0.231,0.0277,28.1774,1.0123,28.1761,1.0126,4.8,peak,Y,    3580
ABELL_0262,0.0174,0.0546,28.1929,36.1533,28.1929,36.1533,0.1,peak,Y,    2215    7921
SPT-CLJ0156-5541,1.22,0.0349,29.0423,-55.6987,29.0423,-55.6987,0,peak,N,   13489
NGC_0741_GROUP,0.0185,0.0443,29.0876,5.6272,29.0875,5.6272,0.2,peak,Y,    2223
GMBCG_J029.95560-08.83299,0.322,0.021,29.956,-8.8336,29.9561,-8.8336,0.2,peak,Y,    6106    3265    9376
ARP_318,0.0132,0.0221,32.4095,-10.1459,32.4095,-10.1459,0.1,peak,N,     923   15667   15666   15181
MCXC_J0220.9-3829,0.229,0.0185,35.2357,-38.4804,35.2358,-38.4809,1.7,peak,Y,    9411
ABELL_3017,0.22,0.0208,36.4715,-41.9152,36.4712,-41.9179,9.9,centroid,Y,   15110
WHL_J022825.9+003202,0.414,0.0294,37.1072,0.5328,37.1078,0.5325,2.2,peak,N,   10794   10744
MZ_10451,0.061,0.0168,37.4397,-29.6287,37.4403,-29.63,5.3,centroid,Y,   10467   10800   10802
SPT-CL_J0232-4421,0.284,0.0246,38.0777,-44.3462,38.0782,-44.3463,1.3,peak,Y,    4993
SPT-CL_J0234-5831,0.415,0.0354,38.6747,-58.5236,38.6747,-58.5236,0,peak,N,   13403
ABELL_0368,0.22,0.0174,39.3652,-26.508,39.3652,-26.5081,0.3,peak,Y,    9412
400d_J0237-5224,0.136,0.0311,39.5034,-52.4198,39.4976,-52.4143,23.5,centroid,N,    9392
ABELL_0370,0.375,0.0304,39.9707,-1.5793,39.9715,-1.5769,9.1,centroid,Y,     515
MACS_J0242.6-2132,0.314,0.0271,40.6495,-21.5406,40.6496,-21.5406,0.3,peak,Y,    3266
SPT-CLJ0243-5930,0.635,0.036,40.863,-59.5172,40.863,-59.5172,0,peak,N,   15573   13484
ABELL_S0295,0.3,0.0331,41.3616,-53.03,41.3602,-53.0297,3.1,peak,Y,   12260
400d_J0245+0936,0.147,0.0961,41.4538,9.6106,41.4538,9.6104,1,peak,N,    9394
ABELL_0376,0.048,0.067,41.5164,36.9055,41.5164,36.9055,0,peak,Y,   12277
ABELL_0383,0.187,0.04,42.0141,-3.5293,42.014,-3.5291,0.8,peak,Y,     524    2321    2320
SPT-CLJ0252-4824,0.421,0.0253,43.2076,-48.4163,43.2076,-48.4163,0,peak,N,   13494
NGC_1132,0.023,0.052,43.2158,-1.2748,43.2163,-1.274,3.6,peak,Y,    3576
WBL_088,0.017,0.095,43.6146,41.5794,43.6151,41.5797,1.8,peak,N,     908   11717   12017   12018
SPT-CLJ0256-5617,0.58,0.0241,44.1056,-56.2982,44.1056,-56.2982,0,peak,N,   13481   14448
MACS_J0257-2325,0.5049,0.0212,44.288,-23.435,44.288,-23.435,0,peak,Y,    3581    1654
ABELL_0402,0.322,0.0216,44.4217,-22.1549,44.4209,-22.1531,7.2,centroid,Y,    3267
ABELL_0400,0.0244,0.0943,44.4234,6.0243,44.4234,6.0243,0.2,peak,Y,    4181
ABELL_0399,0.072,0.1193,44.4726,13.0253,44.4724,13.0252,0.8,peak,Y,    3230
ABELL_3074,0.073,0.0206,44.5469,-52.7284,44.5446,-52.7333,18.4,centroid,N,    6950    7374
ABELL_0401,0.074,0.1017,44.7438,13.5788,44.7372,13.5707,37.3,centroid,Y,   14024
MCXC_J0301.6+0155,0.17,0.0756,45.4092,1.9208,45.4092,1.9205,1,peak,Y,   12253
400d_J0302-0423,0.35,0.0556,45.588,-4.39,45.5886,-4.3905,2.8,peak,N,    5782
MCXC_J0303.7-7752,0.274,0.0877,45.9413,-77.8792,45.9387,-77.8798,2.8,peak,Y,   15113
ACT-CL_J0304-4921,0.392,0.0238,46.0673,-49.357,46.0681,-49.357,2,peak,N,   12265
IC_1880_GROUP,0.0338,0.0665,46.6186,-9.7312,46.6186,-9.7312,0.1,peak,Y,    9389
ABELL_3088,0.253,0.0137,46.7581,-28.6658,46.7572,-28.6654,3,peak,Y,    9414
SPT-CLJ0307-6225,0.579,0.0248,46.8203,-62.4458,46.8203,-62.4458,0,peak,N,   12191
SPT-CLJ0307-5042,0.55,0.021,46.9607,-50.7019,46.9607,-50.7019,0,peak,N,   13476
MACS_J0308.9+2645,0.324,0.1187,47.2331,26.7611,47.233,26.7607,1.7,peak,Y,    3268
SPT-CLJ0310-4647,0.709,0.0225,47.6349,-46.7862,47.6349,-46.7862,0,peak,N,   13492
ABELL_3094,0.068,0.0154,47.8989,-26.8985,47.8995,-26.8988,2.2,peak,Y,    5799
ABELL_3112,0.0752,0.0254,49.4905,-44.2384,49.4903,-44.2381,1.1,peak,N,   13135    2516    6972    7323
400d_J0318-0302,0.37,0.0471,49.6437,-3.0509,49.6429,-3.0498,4.9,peak,N,    5775
ABELL_3120,0.069,0.0243,50.4849,-51.3266,50.4853,-51.3265,0.9,peak,Y,    6951
SPT-CLJ0324-6236,0.73,0.0416,51.0518,-62.5988,51.0518,-62.5988,0,peak,N,   13137   13213   12181
UGC_02748,0.03,0.0874,51.9757,2.5616,51.9752,2.5616,2,peak,Y,   12007   11977   11751
400d_J0328-2140,0.59,0.0217,52.1494,-21.6736,52.1491,-21.6736,1,peak,N,    6258    5755
ABELL_3126,0.086,0.0306,52.1494,-55.718,52.1524,-55.718,5.9,centroid,Y,   15313
MACS_J0329.6-0211,0.45,0.0585,52.4237,-2.1966,52.4237,-2.1966,0.2,peak,Y,    3582    6108    3257
