Name,z,RA,Dec,r500,kT,ekT,zsolar,ezsolar,wt or ap,cstat,DOF,c_red,Fx0.5-7_CE,eFx,Lx0.5-7_E44,eLx0.5-7,Lbol,eLbol,c0.4r500,ec0.4r500
,,deg ,deg,kpc/h71,keV,keV,Z/Zsolar,Z/Zsolar,,,,,erg/s/cm2,erg/s/cm2,erg/s,erg/s,erg/s,erg/s,,
ACCEPT2.0 default name,redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,,Xray temperature core-excised,error on Xray temperature core-excised,Metallicity core-excised,Error on Metallicity core-excised,Ap means temperature and metallicity based on a single core-excised aperture; Wtd means those quantities are based on emission-weighted annular averages of projected temperature or metallicity,Statistic from single spectrum fit,Degrees of freedom in fit,Cstat/DOF,absorbed (observed) X-ray flux 0.5-7.0 keV,absorbed (observed) X-ray flux 0.5-7.0 keV error,bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev rest frame),bandpass limited unabsorbed X-ray luminosity (0.5-7.0 kev restframe) error,bolometric luminosity,bolometric luminosity error,concentration based on flux < 0.15 r500/flux <0.4r500,error on c0.4r500
2MASSi_J0913454+405628,0.442,138.4395,40.9413,994,6.37,0.63,0.34,0.09,Ap,1133,1022,1.1,5.71E-13,2.50E-14,3.86E+00,1.70E-01,5.79E+00,3.30E-01,0.79,0.04
2MASX_J13312961+1107566,0.079,202.8734,11.1325,358,0.67,0.05,0.21,0.15,Ap,1077,1022,1.1,4.04E-14,2.00E-14,6.73E-03,3.30E-03,1.03E-02,5.00E-03,0.72,0.86
2MFGC_06756,0.241,128.7284,55.5722,975,4.89,0.37,0.29,0.11,Wtd,1045,1022,1,1.31E-12,2.90E-14,2.31E+00,5.20E-02,3.26E+00,1.00E-01,0.7,0.02
3C_028,0.1953,13.9635,26.4076,1219,6.64,0.78,0.27,0.1,Wtd,4504,4097,1.1,2.38E-12,2.80E-14,2.60E+00,3.00E-02,3.95E+00,1.90E-01,0.5,0.01
3C_089,0.139,53.5625,-1.1882,978,5.02,0.48,0.12,0.12,Ap,2347,2047,1.1,7.23E-13,3.20E-14,3.89E-01,1.70E-02,5.54E-01,2.90E-02,0.65,0.04
3C_295,0.464,212.835,52.2029,514,2.66,0.34,0.33,0.15,Ap,1135,1022,1.1,2.72E-13,3.60E-14,2.43E+00,3.20E-01,3.23E+00,4.30E-01,0.7,0.11
A1882a,0.141,213.7785,-0.492,873,3.32,0.16,0.3,0.08,Wtd,3414,3072,1.1,5.00E-13,3.10E-14,2.73E-01,1.70E-02,3.66E-01,2.30E-02,0.35,0.04
ABELL_0098N,0.104,11.6029,20.6218,900,3.57,0.4,0.32,0.14,Ap,2571,2047,1.3,9.66E-13,8.20E-14,2.75E-01,2.30E-02,3.70E-01,3.30E-02,0.55,0.07
ABELL_0119,0.044,14.0755,-1.2422,1190,5.85,0.56,0.28,0.12,Wtd,6539,2047,3.2,2.20E-11,2.70E-13,1.01E+00,1.20E-02,1.48E+00,5.30E-02,0.27,0.01
ABELL_0133,0.0566,15.6737,-21.8818,994,4.36,0.45,0.31,0.12,Wtd,5060,3072,1.6,5.62E-12,6.60E-14,4.25E-01,5.00E-03,5.87E-01,1.70E-02,0.72,0.01
ABELL_0141,0.23,16.3979,-24.6301,1210,6.95,0.99,0.2,0.14,Ap,1326,1022,1.3,1.67E-12,7.70E-14,2.50E+00,1.20E-01,3.86E+00,2.90E-01,0.35,0.04
ABELL_0209,0.206,22.9701,-13.6114,1371,8.81,0.72,0.27,0.09,Ap,2520,2047,1.2,4.58E-12,1.30E-13,5.30E+00,1.50E-01,8.89E+00,4.60E-01,0.43,0.02
ABELL_0267,0.231,28.1774,1.0123,1265,7.82,0.74,0.38,0.13,Ap,1190,1022,1.2,2.27E-12,6.80E-14,3.44E+00,1.00E-01,5.51E+00,2.90E-01,0.54,0.03
ABELL_0370,0.375,39.9707,-1.5793,1234,8.52,0.65,0.25,0.08,Ap,1233,1022,1.2,1.28E-12,2.80E-14,5.80E+00,1.30E-01,9.60E+00,4.30E-01,0.36,0.02
