Name, Z,RA,Dec,  Rmin, Rmax,  K0,  K0err, K100, K100err, Alpha, AlphaErr, ChiSq, K100_PL, K100err_PL, Alpha_PL, AlphaErr_PL, ChiSq_PL, Npts,Pt Src Flag
,,deg ,deg,kpc/h71,kpc/h71,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,,,,keV/cm^2/3,keV/cm^2/3,,,,,(Y/N)
,,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,Midpoint of innermost radial bin used in entropy fits,Midpoint of outermost bin used in entropy fit,Entropy excess from least squares fit,entropy excess error,entropy at 100 kpc from least squares fit,entropy at 100 kpc error,power law entropy profile from least squares fit,entropy power law error,estimated reduced chi square from least squares,entropy at 100 kpc fo single power law model least squares fitting,error on entropy at 100 kpc for single power law model,single power law entropy slope from least squares fitting,error on single power law entropy slope,reduced chi square to single power law from least squares fitting,Number of radial entropy points in fit,"pt src (within central 10"" excluded from spectral analysis)"
ABELL_2717,0.049,0.8040,-35.9334,4.7,215.4,24.7,6.6,158,4.8,0.89,0.11,1.05,158.1,4.8,0.63,0.04,1.29,36,Y
NSCS_J000619+105206,0.167,1.5845,10.8643,14.1,706.7,64.9,9.3,192.1,6.1,1.01,0.07,0.52,210.7,5.4,0.69,0.04,1.51,29,N
ZwCl_0008.8+5215,0.104,2.8647,52.5265,23.6,702.9,7,63.6,262.2,12.7,0.62,0.19,0.52,262.6,12,0.6,0.06,0.5,31,N
MACS_J0011.7-1523,0.378,2.9286,-15.3892,12.9,167.6,3.7,13.6,161.4,8.7,0.85,0.21,0.87,161.8,8.6,0.8,0.06,0.71,7,N
ABELL_0013,0.094,3.4098,-19.5005,8.6,310.5,111.8,43.9,292.5,11.3,0.76,0.27,0.47,304,8.4,0.45,0.08,0.56,33,N
ABELL_2744,0.308,3.5807,-30.3909,11.3,1046.8,221.8,58.9,389.6,17,0.69,0.18,0.89,386.9,17.4,0.41,0.07,1.01,47,N
Cl_0016+16,0.541,4.6402,16.4359,31.7,1220.6,169.6,23.1,225.4,12.6,1.33,0.1,0.2,196.6,11.5,0.75,0.06,1.33,27,N
MACS_J0025.4-1222,0.584,6.3737,-12.3761,32.9,477.6,-162.3,79.4,110.7,6.7,0.42,0.28,0.39,99.3,5.8,0.91,0.06,1.82,14,N
PLCKESZ_G304.84-41.42,0.41,7.0260,-75.6358,13.6,881.5,-144,160.5,382.3,29.1,0.35,0.35,0.35,352.8,18,0.51,0.07,0.42,21,N
MCXC_J0035.4-2015,0.364,8.8586,-20.2623,25.2,1006.9,137.2,17.1,179.2,10.5,1.51,0.1,0.26,171.1,11.1,0.78,0.07,1.92,21,N
ABELL_0068,0.255,9.2775,9.1578,29.5,708.1,187.2,57.6,254,29,1.41,0.21,0.1,215.4,24.2,0.83,0.11,0.69,12,N
ABELL_0085,0.055,10.4599,-9.3029,2.6,503.8,5.3,1,165.3,1.9,0.91,0.02,1.11,169.4,1.8,0.84,0.01,1.4,96,N
ABELL_2813,0.292,10.8535,-20.6234,21.7,791.6,152.2,20.9,199.1,11.8,1.67,0.16,0.33,216.3,12.4,0.62,0.12,0.99,22,N
ZwCl_0040.8+2404,0.083,10.9678,24.4059,3.9,269.9,10.5,1.1,120.3,2.7,1.2,0.03,0.65,124,2.7,0.93,0.02,3.1,33,N
ABELL_0098N,0.104,11.6029,20.6218,9.4,264.2,16,3.8,176.7,7.3,1.22,0.07,0.81,183.9,7,0.97,0.04,1.76,15,N
ESO_351-_G_021,0.057,13.7497,-35.3214,2.7,125.5,7.3,0.4,193.8,10.2,1.5,0.03,3.6,96.9,5.4,0.81,0.03,20.86,11,N
ABELL_0133,0.0566,15.6737,-21.8818,2.7,116.5,10.7,0.6,206.9,3.9,1.37,0.02,8.72,181.1,3,1.02,0.01,19.47,22,N
SPT-CL_J0102-4915,0.75,15.7378,-49.2725,18.4,1083.1,63.4,9.2,160.8,4.1,1.11,0.04,1.72,157.2,4.2,0.89,0.02,3.09,30,N
ABELL_0141,0.23,16.3979,-24.6301,27.3,983.1,112.2,32.4,212.3,13.3,0.98,0.14,0.67,208.4,13.8,0.67,0.06,0.99,26,N
MaxBCG_J016.70077+01.05926,0.254,16.7062,1.0563,9.8,460.9,8.9,0.9,80.6,1.8,1.4,0.03,0.54,88.3,1.5,1.13,0.02,5.02,20,N
CIZA_J0107.7+5408,0.107,16.9381,54.1327,14.5,682,336.6,48.2,389.9,22.2,1.25,0.26,0.39,382.7,21.7,0.38,0.12,0.53,54,N
IC_1633,0.0243,17.4809,-45.9308,1.2,203,1.9,0.9,270.9,12.6,0.87,0.04,1.6,269.1,12.7,0.82,0.02,1.66,39,N
ABELL_0160,0.045,18.2737,15.5298,8.7,117.9,77.9,56.1,236.4,17.9,0.91,0.72,0.46,232,16.8,0.45,0.21,0.49,15,N
NSCS_J011502+002441,0.045,18.7658,0.4041,15.3,364.7,114.7,65.5,200.5,13.5,0.88,0.49,0.71,203.8,13.6,0.47,0.14,0.71,48,N
ABELL_2895,0.227,19.5469,-26.9653,27,973.3,177.7,33.2,260,14.3,1.18,0.15,0.6,257.7,14.8,0.64,0.07,1.02,28,N
UGC_00842,0.045,19.7235,-1.0021,4.4,117.9,-34.2,30.2,181.3,11.4,0.42,0.31,0.47,189.8,10.5,0.64,0.04,0.72,14,Y
ABELL_0193,0.049,21.2802,8.7003,7.1,217.7,142.5,10.9,176.8,6.3,1.9,0.28,0.81,193.1,4.5,0.32,0.13,1.2,42,N
ABELL_0209,0.206,22.9701,-13.6114,16.7,1095.3,90.9,30.5,261.3,10.6,0.78,0.11,0.67,267.2,10.7,0.59,0.05,0.8,42,N
Abell_222,0.211,24.3946,-12.9931,25.6,587.8,132,31.3,202.8,9.8,1.02,0.22,0.6,205,10.1,0.52,0.09,0.96,22,N
Abell_223,0.207,24.4835,-12.8198,16.8,595.9,100.5,22.5,224.7,11.4,1.01,0.15,0.37,244,9.8,0.61,0.07,0.86,22,N
ABELL_0267,0.231,28.1774,1.0123,18.3,694.1,156.3,17,200.9,10.5,1.87,0.09,0.34,201.2,11.6,0.88,0.07,2.62,21,N
ABELL_0262,0.0174,28.1929,36.1533,0.9,23.5,2.4,0.2,239.8,9.1,1.1,0.02,21.23,171,3.7,0.9,0.01,32.21,14,N
NGC_0741_GROUP,0.0185,29.0876,5.6272,0.9,24.1,0.6,0.5,175.6,27.8,0.94,0.08,0.73,149.6,12.4,0.86,0.03,0.84,8,N
GMBCG_J029.95560-08.83299,0.322,29.9560,-8.8336,11.6,382.9,13.4,4,179.1,6.5,1.12,0.06,0.55,189.7,5,0.96,0.03,1.1,17,N
MCXC_J0220.9-3829,0.229,35.2357,-38.4804,9.1,916.4,20.7,3.4,134.3,5.6,1.14,0.05,0.32,149.5,4.6,0.9,0.03,1.85,20,N
ABELL_3017,0.22,36.4715,-41.9152,17.6,976.7,37.5,8,147.6,9.3,1.27,0.07,0.29,168.1,7.8,0.99,0.04,1.05,23,N
MZ_10451,0.061,37.4397,-29.6287,5.8,61,5.2,32,74.8,13.8,0.45,1.03,0.52,73.2,7.2,0.39,0.15,0.35,5,N
SPT-CL_J0232-4421,0.284,38.0777,-44.3462,10.6,925.1,25.4,5.7,162.9,6.4,1.03,0.05,0.45,177.1,5.4,0.87,0.03,1.15,24,Y?
ABELL_0368,0.22,39.3652,-26.5080,17.6,483.9,42.4,8.1,143.7,6.5,1.17,0.09,0.21,159.4,5.3,0.81,0.05,1.45,15,N
ABELL_0370,0.375,39.9707,-1.5793,25.7,500.3,272.5,35.4,306.9,19.3,1.73,0.2,0.27,272.2,16.5,0.61,0.09,1.14,19,N
MACS_J0242.6-2132,0.314,40.6495,-21.5406,11.4,741.4,9.7,1.4,93.9,3.6,1.27,0.04,0.46,104,3.1,1.04,0.03,3.84,12,N
ABELL_S0295,0.3,41.3616,-53.0300,33.2,729.4,184.1,21,206,14,1.89,0.18,0.55,211.5,14.4,0.55,0.13,1.22,20,N
ABELL_0376,0.048,41.5164,36.9055,9.3,371.4,35.8,19.5,251.6,11.1,0.73,0.14,0.52,263.2,7.9,0.58,0.05,0.58,30,N
ABELL_0383,0.187,42.0141,-3.5293,7.7,565.4,9.6,1.1,122.5,2.8,1.16,0.03,1.77,132,2.5,0.97,0.02,3.96,32,N
NGC_1132,0.023,43.2158,-1.2748,1.1,71,-1.6,0.9,111.9,3.7,0.66,0.05,1.26,116.7,3.1,0.73,0.02,1.51,15,N
MACS_J0257-2325,0.5049,44.2880,-23.4350,15.3,932.5,77.5,17.9,199.5,10.4,1.18,0.08,0.23,207.5,10.8,0.9,0.05,1.09,18,Y?
ABELL_0402,0.322,44.4217,-22.1549,23.2,800.7,90.8,25,204.8,12.3,1.06,0.14,0.17,218.8,11.7,0.69,0.08,0.7,16,Y
ABELL_0400,0.0244,44.4234,6.0243,7.3,145.6,103.3,15.4,195.8,8.7,1.57,0.33,0.56,197.1,8.3,0.4,0.16,0.75,32,N
ABELL_0399,0.072,44.4726,13.0253,6.8,552,124.8,40.6,341.5,9.2,0.59,0.15,0.88,349.4,8.8,0.41,0.05,0.93,81,N
ABELL_0401,0.074,44.7438,13.5788,3.5,573,164.6,16.6,278.4,4.5,0.92,0.09,0.8,284.5,4.4,0.49,0.03,1.16,83,N
MCXC_J0301.6+0155,0.17,45.4092,1.9208,7.2,523.5,10.1,1.3,117.1,2.9,1.18,0.03,1.37,124.5,2.6,0.99,0.02,4,20,N
MCXC_J0303.7-7752,0.274,45.9413,-77.8792,20.7,901.6,-157.3,122.9,248.6,15.4,0.6,0.23,0.25,239.8,13.1,0.84,0.05,0.4,29,N
IC_1880_GROUP,0.0338,46.6186,-9.7312,3.3,74.8,4.6,0.7,205.4,20.5,1.41,0.07,0.91,141.8,12.1,0.99,0.04,7.74,5,N
ABELL_3088,0.253,46.7581,-28.6658,9.8,762.6,11.9,9.1,189.4,9.3,0.87,0.08,0.58,196.5,7.1,0.8,0.04,0.63,24,Y
MACS_J0308.9+2645,0.324,47.2331,26.7611,23.3,1118.7,149.9,27.9,247.1,14.9,1.22,0.11,0.19,249.1,16.1,0.75,0.07,0.83,27,N
ABELL_3094,0.068,47.8989,-26.8985,12.9,427.3,-16.1,70.5,267.8,12.4,0.47,0.27,0.66,265.9,9.6,0.5,0.07,0.64,32,N
ABELL_3120,0.069,50.4849,-51.3266,6.5,224.7,1.1,5.7,177.2,10.1,0.83,0.11,0.41,176.8,9.9,0.81,0.04,0.38,15,Y
UGC_02748,0.03,51.9757,2.5616,1.5,63.7,3.7,1.5,207,16.8,1.28,0.08,1.97,181.4,9.8,1.09,0.03,2.13,21,N
ABELL_3126,0.086,52.1494,-55.7180,15.9,485.7,171.6,17.1,221.4,8.7,1.73,0.13,0.24,236.5,9.1,0.65,0.08,1.59,25,N
MACS_J0329.6-0211,0.45,52.4237,-2.1966,14.3,688,3.8,2.5,124.3,4.2,1.07,0.04,0.44,128.4,2.9,1.01,0.02,0.53,19,N
ABELL_3128,0.06,52.4609,-52.5804,11.4,214.6,35.2,64.8,206.6,10.6,0.51,0.51,0.22,209.5,8,0.4,0.12,0.21,16,N
MCXC_J0331.1-2100,0.188,52.7750,-21.0089,7.8,684.5,11.5,1.6,128.5,4.4,1.25,0.04,0.37,136.5,4.2,0.97,0.03,1.91,25,N
3C_089,0.139,53.5625,-1.1882,12.1,303.2,30.8,5.7,247.7,7.5,1.34,0.06,0.37,260.4,6.8,1.04,0.04,1.49,20,N
Fornax_Cluster,0.0046,54.6204,-35.4499,0.2,5.9,1.1,0.1,1634.6,250.7,1.39,0.03,1.58,237.3,16.2,0.86,0.02,16.46,13,N
MCXC_J0338.6+0958,0.0363,54.6713,9.9669,1.8,76.5,5.4,0.1,120.7,1.8,1.46,0.01,20.99,76.1,0.8,0.87,0.01,99.47,22,N
MCXC_J0340.8-4542,0.07,55.2241,-45.6768,29.7,363,300,0,327,18.6,0,0,1.02,336.4,26.1,-0.03,3.31,0.92,12,N
III_Zw_054,0.029,55.3153,15.4097,5.7,223.7,62.8,11.2,139.2,4.1,0.97,0.2,0.84,144.7,3.4,0.44,0.08,1.02,60,N
MCXC_J0352.9+1941,0.109,58.2457,19.6830,4.9,334.3,6.8,0.4,62.2,1.3,1.41,0.02,0.5,66.9,1.3,0.98,0.02,10.08,29,N
MACS_J0358.8-2955,0.425,59.7263,-29.9259,13.9,1025.6,27.7,15.6,193.8,7.8,0.69,0.09,0.47,200.9,6.5,0.6,0.04,0.55,27,N
ABELL_0478,0.088,63.3550,10.4653,4.1,378,7.9,0.8,132.6,1.6,1.03,0.02,1.03,135.9,1.5,0.88,0.01,2.76,47,N
MACS_J0416.1-2403,0.42,64.0394,-24.0655,27.5,798.2,12.4,290.6,325.8,23.7,0.35,0.81,0.59,326.4,20.6,0.34,0.14,0.56,23,N
MACS_J0417.5-1154,0.44,64.3926,-11.9096,14.1,1131.8,17.1,8.5,186.8,6.3,0.87,0.05,0.83,193.7,5.1,0.8,0.02,0.92,37,N
MCXC_J0419.6+0224,0.0123,64.9083,2.4102,0.6,88.7,1.4,0.4,110.5,3.1,0.78,0.03,1.64,104.7,2.5,0.71,0.01,1.83,64,N
MCXC_J0425.8-0833,0.04,66.4634,-8.5604,2,285,7.9,1.3,130.6,3.2,0.97,0.04,0.84,130.7,3.2,0.8,0.02,1.39,48,N
ABELL_S0463,0.039,67.1569,-53.8402,9.5,209.6,15.4,49.5,152.2,7.8,0.5,0.48,0.65,153.6,5.8,0.44,0.12,0.63,29,N
MACS_J0429.6-0253,0.399,67.4000,-2.8854,13.3,600.2,13.3,3.6,121.2,6.2,1.17,0.06,0.6,132.3,5,0.97,0.04,1.52,13,N
ABELL_3266,0.0589,67.8044,-61.4537,5.6,621.5,29.7,77.3,408.6,11.4,0.39,0.2,0.65,410.8,9.5,0.36,0.05,0.64,105,N
ABELL_0496,0.0329,68.4085,-13.2610,1.6,98.8,5.2,0.3,159.9,2.6,1.03,0.02,4.03,140.3,1.9,0.82,0.01,9.52,31,N
MCXC_J0437.1+0043,0.285,69.2898,0.7322,10.7,703.5,40.2,4.2,129.2,5,1.31,0.06,0.72,150.2,4,0.82,0.04,2.74,25,N
MCXC_J0439.0+0715,0.23,69.7523,7.2684,18.2,837.5,62.1,10.2,168.5,6.3,1.03,0.08,0.72,185.4,5.6,0.7,0.04,1.49,26,N
MCXC_J0439.0+0520,0.208,69.7590,5.3454,8.4,615,6.7,1.6,127.8,4.1,1.14,0.04,0.54,135.3,3.6,1,0.02,1.31,20,N
MCXC_J0443.1+0210,0.19,70.7914,2.1720,7.8,345.1,17.9,4.4,154.7,6,1.03,0.07,0.27,163.3,5.3,0.81,0.04,1.37,12,Y?
ABELL_3292,0.172,72.4830,-44.6731,21.7,600.9,123.8,12.9,157.6,6.4,1.65,0.13,0.49,161.9,6.8,0.68,0.07,2.18,20,N
WEIN_051,0.022,72.5271,45.0518,5.5,191.9,-42.7,483.1,302.3,8.7,0.17,1.67,0.67,301.9,7.8,0.2,0.18,0.66,59,N
ABELL_0521,0.2533,73.5278,-10.2209,9.8,185.9,99.5,25.7,299.8,16.8,1.6,0.2,0.66,320.9,13.3,0.91,0.08,1.52,10,N
MCXC_J0454.1-0300,0.55,73.5471,-3.0159,16,895.2,212.8,22.8,250.2,11.7,1.41,0.16,0.33,243.5,11.6,0.51,0.08,1.27,22,N
ESO_552-_G_020,0.031,73.7181,-18.1154,3.1,208,-2.5,6.6,203.6,8.5,0.66,0.11,0.63,204.1,8.4,0.69,0.04,0.61,28,N
ABELL_3322,0.2,77.5713,-45.3215,24.5,743.4,126.2,18.8,188.5,8.3,1.29,0.13,0.34,194.9,8.8,0.65,0.08,1.41,21,N
MCXC_J0510.7-0801,0.22,77.6985,-8.0275,17.6,739.1,309.4,59.7,369.7,18.7,0.81,0.51,0.49,381.7,18.3,0.19,0.2,0.55,34,N
ABELL_S0520,0.295,79.1571,-54.5131,43.7,1179.6,-18.8,45.9,81.6,10.2,0.69,0.23,0.84,83.8,8.2,0.76,0.08,0.81,31,N
MCXC_J0520.7-1328,0.34,80.1751,-13.4803,24.1,613.9,87.4,15.2,167.4,7.1,1.3,0.09,0.32,166.8,8.1,0.87,0.05,1.67,14,Y?
ABELL_3343,0.191,81.4534,-47.2528,15.8,559.3,174.8,30.3,230.9,15,1.4,0.24,0.09,250,15.2,0.51,0.14,0.64,20,N
MCXC_J0528.2-2942,0.158,82.0607,-29.7219,20.3,560.4,60.5,31.5,191.1,11.5,0.86,0.2,0.44,200.2,9.8,0.62,0.08,0.57,18,N
RBS_0653,0.284,82.2209,-39.4705,10.6,393.4,36.1,6.8,188.1,6.9,1.03,0.08,1,205.1,5.2,0.74,0.04,1.96,19,N
PLCKESZ_G286.58-31.25,0.21,82.8695,-75.1768,25.5,746.9,-61.6,16.2,98.2,7.3,0.68,0.12,0.28,36.4,2.6,1.57,0.03,7,20,N
ABELL_0545,0.154,83.1057,-11.5422,13.2,694,212.5,20.6,279.1,9.5,1.16,0.14,0.37,300.4,9.6,0.41,0.07,1,41,N
MCXC_J0532.9-3701,0.275,83.2314,-37.0264,20.8,841.6,53.8,21.7,220.8,12.4,0.97,0.11,0.12,234.5,10.6,0.78,0.05,0.33,25,N
ESO3060170-A,0.036,85.0278,-40.8366,1.8,254.2,-8,2.4,162.7,4.3,0.64,0.05,1.48,161.7,4.3,0.76,0.02,1.74,61,N
