Name, Z,RA,Dec, MCK0, MCK0_68min, MCK0_68max, MCK100, MCK100_68min, MCK100_68max, MCAlpha, MCAlpha_68min, MCAlpha_68max, MCChiSq, K10kpc_mcmc, K10kpc_mcmc_min, K10kpc_mcmc_max, K20kpc_mcmc, K20kpc_mcmc_min, K20kpc_mcmc_max
,,deg ,deg,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,,,,,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3,keV/cm^2/3
,,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,MCMC Median Entropy excess,MCMC Entropy excess min 1 sigma,MCMC Entropy excess max 1 sigma,MCMC Median Entropy at 100 kpc,MCMC Entropy at 100 kpc min 1 sigma,MCMC Entropy entropy at 100 kpc max 1 sigma,MCMC Entropy power law slope,MCMC min entropy power law slope,MCMC max entropy power law slope,MCMC estimated reduced chi square,MCMC Entropy at 10 kpc,MCMC Min Entropy at 10 kpc,MCMC Max Entropy at 10 kpc,MCMC Entropy at 20 kpc,MCMC Min Entropy at 20 kpc,MCMC Max Entropy at 20 kpc
ABELL_2717,0.049,0.8040,-35.9334,25.4,15.8,32.2,158.4,152.5,164.6,0.9,0.78,1.02,1.73,42,38.7,45.2,56.6,54.3,59
NSCS_J000619+105206,0.167,1.5845,10.8643,66.8,51.7,77.2,193.3,183.9,202.2,1.02,0.91,1.1,0.69,77.3,67.2,87.1,90.3,81.8,98
ZwCl_0008.8+5215,0.104,2.8647,52.5265,19.7,-105.2,53.1,261.6,248.2,281.8,0.63,0.46,0.71,0.73,60.4,23.8,97.6,97.5,70,124.4
MACS_J0011.7-1523,0.378,2.9286,-15.3892,5.7,-74.8,12.8,161.4,150.6,172.5,0.88,0.38,0.99,0.18,24.3,20.1,29,45.8,41.3,50.5
ABELL_0013,0.094,3.4098,-19.5005,108.8,3.2,149.9,294.5,279.5,309.3,0.74,0.44,1,0.7,139,109.6,166.6,164.5,146.7,183
ABELL_2744,0.308,3.5807,-30.3909,233.4,109.5,280.1,389.2,373.4,414.7,0.72,0.49,0.82,1.96,249.2,189.6,301.5,273.9,222.6,316.5
Cl_0016+16,0.541,4.6402,16.4359,164.5,141.9,202.9,222.6,214.6,250.2,1.31,1.14,1.46,0.24,174.8,147,205,179.6,153.5,207.4
MACS_J0025.4-1222,0.584,6.3737,-12.3761,-141.9,-219.9,-77.9,109.6,100.7,116.9,0.45,0.36,0.61,0.22,-49.7,-71.4,-29.7,-18.5,-32.5,-5.3
PLCKESZ_G304.84-41.42,0.41,7.0260,-75.6358,-125.3,-230.6,-22.7,378.6,353.2,409.3,0.37,0.3,0.47,0.31,97.3,71.7,120.3,158.8,137.9,179.3
MCXC_J0035.4-2015,0.364,8.8586,-20.2623,135.7,111.8,157,178,169.8,193.8,1.5,1.26,1.66,0.23,135.9,115.1,158,139.1,119.8,159.1
ABELL_0068,0.255,9.2775,9.1578,177.9,48.2,262.8,254,224,297.2,1.33,0.87,2.09,0.05,173.8,74.8,263.1,184.2,94.5,263.9
ABELL_0085,0.055,10.4599,-9.3029,5.3,3.9,6.6,165.6,162.9,168.1,0.9,0.88,0.93,5.18,25.2,24.5,25.9,42.6,41.5,43.6
ABELL_2813,0.292,10.8535,-20.6234,151.5,98.1,169,199.5,187.9,219.9,1.64,1.06,1.88,0.31,140.6,105.5,169.9,145.9,115.3,172.2
ZwCl_0040.8+2404,0.083,10.9678,24.4059,10.7,9.1,11.7,120,116.3,123,1.2,1.15,1.24,0.98,17.5,16.7,18.4,26.5,25.5,27.5
ABELL_0098N,0.104,11.6029,20.6218,16.2,10.2,20.7,175.3,166.5,186.2,1.22,1.1,1.32,0.49,25.7,22.8,28.8,38.7,36,41.3
ESO_351-_G_021,0.057,13.7497,-35.3214,7.3,6.8,7.9,192.9,179.7,208,1.5,1.43,1.57,1.44,13.2,12.9,13.6,24,23.2,24.8
ABELL_0133,0.0566,15.6737,-21.8818,10.7,10.1,11.7,206.5,201.8,212.3,1.36,1.33,1.41,8.29,19.2,18.9,19.6,32.4,31.9,33
SPT-CL_J0102-4915,0.75,15.7378,-49.2725,62.9,52.4,75.9,160.7,156,167.6,1.11,1.05,1.16,2.32,71.4,61.4,81.8,80.4,71.4,89.7
ABELL_0141,0.23,16.3979,-24.6301,116.2,36.1,141,213.9,191.1,233.1,0.99,0.74,1.12,0.78,108.3,70.6,148.2,121.8,90.2,155.7
MaxBCG_J016.70077+01.05926,0.254,16.7062,1.0563,9.1,7.7,10.3,80.3,78.1,83.1,1.4,1.35,1.45,0.46,11.8,10.9,12.8,16.5,15.7,17.3
CIZA_J0107.7+5408,0.107,16.9381,54.1327,348.8,85.7,348.8,393.9,366,418.1,1.33,0.42,1.36,1,283.8,209.9,351.1,301.8,243.7,357
IC_1633,0.0243,17.4809,-45.9308,1.9,0.3,3.3,269.6,253.9,287.4,0.87,0.83,0.92,2.88,37.8,35.1,40.5,67.7,63.3,72.1
ABELL_0160,0.045,18.2737,15.5298,70.9,6.4,125.7,241.1,206.5,256.9,0.84,0.49,2.07,0.28,103.8,73.8,130.3,118.2,98.8,138.8
NSCS_J011502+002441,0.045,18.7658,0.4041,124.5,-130.5,108,201.3,189.1,228.2,0.94,0.28,0.8,1.59,85.4,40,133.3,110.1,76.5,147.2
ABELL_2895,0.227,19.5469,-26.9653,174.2,104.9,206.6,255.5,239.7,282.2,1.2,0.85,1.38,0.75,166.1,126.7,209.2,176.8,142.6,214
UGC_00842,0.045,19.7235,-1.0021,-34.7,-190.8,-44.9,180.3,167.1,181.3,0.41,0.16,0.38,0.26,52.4,48.5,56.2,81.5,76.2,86.8
ABELL_0193,0.049,21.2802,8.7003,140.7,119.2,151.9,176.4,172.5,188.5,1.86,1.07,2.24,1.58,138.2,124.3,152,141.3,129.4,153.2
ABELL_0209,0.206,22.9701,-13.6114,96.8,21.3,123,260.5,251.6,279.7,0.8,0.62,0.87,1.31,114.9,83.9,142.6,138,114.2,160.5
Abell_222,0.211,24.3946,-12.9931,128.6,60.6,150.7,200.5,194.2,221,1.01,0.66,1.09,0.57,123.7,91.1,156.6,135.5,106.8,163.6
Abell_223,0.207,24.4835,-12.8198,100,57.8,121.6,225.9,213.4,243.8,0.99,0.77,1.15,0.35,109.2,85.5,130.6,124,105.8,140.8
ABELL_0267,0.231,28.1774,1.0123,162.1,128.1,174.3,203.3,188.1,218.8,1.9,1.56,2.01,0.31,152.3,129.6,174.8,154.7,133.3,176
ABELL_0262,0.0174,28.1929,36.1533,2.4,2.3,2.6,238.9,235.4,257.8,1.1,1.09,1.14,11.68,21,20.8,21.3,42.8,42.3,43.4
NGC_0741_GROUP,0.0185,29.0876,5.6272,0.6,0.1,1.1,174.3,153.1,206,0.94,0.88,1.03,0.18,20.5,19.4,21.6,39,36.7,41.5
GMBCG_J029.95560-08.83299,0.322,29.9560,-8.8336,13.8,7.4,18.7,179,170.3,187.1,1.13,1.04,1.2,0.39,25.9,23,29,40.7,38.2,43.2
MCXC_J0220.9-3829,0.229,35.2357,-38.4804,20.4,15.4,25,134.3,126.8,142.7,1.14,1.05,1.21,0.27,29,25.8,32.2,39.2,36.3,41.8
