Name,z,RA_J2000,Dec _J2000,wd,wserr,p30d,p30serr,ellipd,ellipderr,etad,etaerr,c0.4R500,ec0.4R500,0.4R500_kpc/h71
,,deg ,deg,,,,,,,degrees,degrees,,,kpc/h71
ACCEPT2.0 Name,Redshift,ACCEPT2.0 Center RA J2000,ACCEPT2.0 Center RA J2000,Centroid shift in 20 bins inside 0.4R500,Centroid shift error,P3/P0 power law ratio (r<0.4R500),P3/P0 power law ratio,Ellipticity (ratio of minor/major axes) inside 0.4R500,Error on Ellipticity,Position Angle in degrees E of N,Position Angle error,Concentration (flux < 0.15 R500/flux < 0.4 R500),error on concentration,Rmax for the quantities in this table
ABELL_2717,0.049,0.804,-35.9334,0.1078,0.0016,1.70E-06,1.0E-07,0.801,0.006,-14.740,1.009,0.575,0.013,307
ZwCl_0008.8+5215,0.104,2.8647,52.5265,0.2047,0.0107,3.24E-08,4.0E-08,0.872,0.007,74.940,1.922,0.334,0.015,415
MACS_J0011.7-1523,0.378,2.9286,-15.3892,0.0595,0.0121,3.78E-08,3.3E-08,0.882,0.008,-82.410,2.105,0.579,0.011,407
ABELL_2744,0.308,3.5807,-30.3909,0.0529,0.0032,2.31E-07,3.4E-08,0.962,0.018,87.140,2.648,0.329,0.005,568
Cl_0016+16,0.541,4.6402,16.4359,0.0209,0.0039,6.50E-08,4.3E-08,0.887,0.007,47.660,1.846,0.387,0.009,496
ZwCl_0024.0+1652,0.39,6.6499,17.1626,0.0234,0.0049,7.06E-09,7.4E-08,0.955,0.015,35.210,11.500,-,-,438
PLCKESZ_G304.84-41.42,0.41,7.026,-75.6358,0.0578,0.0082,7.60E-07,2.6E-07,0.946,0.016,-11.890,5.953,0.436,0.012,490
WARP_J0030.5+2618,0.5,7.6427,26.3027,0.0450,0.0159,4.31E-08,5.6E-07,0.927,0.049,-80.020,17.510,-,-,258
ABELL_0068,0.255,9.2775,9.1578,0.0202,0.0040,3.58E-08,5.5E-08,0.836,0.011,-47.200,2.297,-,-,547
ABELL_2813,0.292,10.8535,-20.6234,0.0111,0.0077,2.71E-08,4.1E-08,0.901,0.009,26.610,2.904,0.463,0.012,493
ABELL_0098N,0.104,11.6029,20.6218,0.0140,0.0019,4.95E-08,4.6E-08,0.935,0.008,-25.720,4.076,0.553,0.027,364
ABELL_0119,0.044,14.0755,-1.2422,0.0322,0.0025,1.24E-07,1.7E-08,0.938,0.002,13.760,0.851,0.265,0.004,482
ABELL_0122,0.114,14.3453,-26.2808,0.0085,0.0041,6.09E-08,1.1E-07,0.905,0.056,-86.030,4.371,-,-,408
ABELL_0133,0.0566,15.6737,-21.8818,0.0109,0.0003,2.14E-08,3.3E-09,0.902,0.002,26.180,0.563,0.722,0.003,403
SPT-CL_J0102-4915,0.75,15.7378,-49.2725,0.1299,0.0017,8.82E-07,8.9E-08,0.854,0.004,-38.370,0.834,0.432,0.007,482
ABELL_0141,0.23,16.3979,-24.6301,0.0668,0.0065,1.83E-06,3.8E-07,0.765,0.119,-1.307,1.107,0.346,0.019,489
MaxBCG_J016.70077+01.05926,0.254,16.7062,1.0563,0.0514,0.0023,2.07E-08,1.4E-08,0.915,0.006,40.880,2.523,0.773,0.008,374
ABELL_0209,0.206,22.9701,-13.6114,0.0224,0.0020,2.90E-08,2.5E-08,0.889,0.007,-46.450,1.912,0.430,0.010,554
Abell_222,0.211,24.3946,-12.9931,0.0373,0.0043,9.36E-09,3.2E-08,0.889,0.055,87.560,2.673,0.352,0.016,368
Abell_223,0.207,24.4835,-12.8198,0.0405,0.0037,5.05E-08,4.7E-08,0.872,0.010,11.490,2.054,0.487,0.016,419
MCXC_J0142.0+2131,0.28,25.5134,21.5212,0.0213,0.0028,3.17E-07,1.3E-07,0.917,0.063,-89.440,4.206,-,-,478
SDSS_J015021.27-100530.5_GROUP,0.365,27.5885,-10.0915,0.0553,0.0065,4.45E-08,6.5E-08,0.901,0.015,-45.920,4.499,0.656,0.021,350
ABELL_0267,0.231,28.1774,1.0123,0.0288,0.0037,6.80E-09,1.8E-08,0.860,0.010,17.050,1.921,0.542,0.010,511
GMBCG_J029.95560-08.83299,0.322,29.956,-8.8336,0.0442,0.0092,1.25E-08,1.3E-08,0.962,0.006,22.920,5.009,0.709,0.006,539
WHL_J022825.9+003202,0.414,37.1072,0.5328,0.1012,0.0291,1.06E-06,1.1E-06,0.817,0.018,-36.800,4.733,-,-,528
ABELL_0368,0.22,39.3652,-26.508,0.0191,0.0022,2.46E-08,3.9E-08,0.874,0.014,77.790,2.933,-,-,443
400d_J0237-5224,0.136,39.5034,-52.4198,0.0511,0.0116,1.96E-08,1.7E-07,0.912,0.018,-25.140,6.909,-,-,322
ABELL_0370,0.375,39.9707,-1.5793,0.0391,0.0050,1.07E-07,4.7E-08,0.821,0.057,-1.552,1.004,0.359,0.008,497
